Customer_ID,Recommended_Category,Reason,Confidence,RFM_Segment,Cluster_Name,Predicted_CLV,Churn_Probability
CUS000808,Fruits,Association Rules,0.2690364625410675,Promising,Mid-Tier Customers,137640.6837275289,0.0050220621692465
CUS000809,Equipment,Association Rules,0.4832405348939241,Big Spenders,Mid-Tier Customers,1265444.1473408812,0.999610888957621
CUS000809,Feed,Association Rules,0.448302807430727,Big Spenders,Mid-Tier Customers,1265444.1473408812,0.999610888957621
CUS000809,Fertilizer,Association Rules,0.3774573400147679,Big Spenders,Mid-Tier Customers,1265444.1473408812,0.999610888957621
CUS000810,Equipment,Association Rules,0.31512959466284873,Promising,Mid-Tier Customers,114941.9555639839,0.978401197569193
CUS000810,Feed,Association Rules,0.29012955797697954,Promising,Mid-Tier Customers,114941.9555639839,0.978401197569193
CUS000810,Fruits,Association Rules,0.2690364625410675,Promising,Mid-Tier Customers,114941.9555639839,0.978401197569193
CUS000811,Equipment,Association Rules,0.7983701295567728,About to Sleep,Lost Low-Value,47296.347559041424,0.9995457789599156
CUS000811,Feed,Association Rules,0.7384323654077065,About to Sleep,Lost Low-Value,47296.347559041424,0.9995457789599156
CUS000811,Fertilizer,Association Rules,0.574510929542594,About to Sleep,Lost Low-Value,47296.347559041424,0.9995457789599156
CUS000812,Equipment,Association Rules,0.31512959466284873,Need Attention,Mid-Tier Customers,74603.9814329391,0.9994683129513952
CUS000812,Feed,Association Rules,0.29012955797697954,Need Attention,Mid-Tier Customers,74603.9814329391,0.9994683129513952
CUS000812,Fruits,Association Rules,0.2690364625410675,Need Attention,Mid-Tier Customers,74603.9814329391,0.9994683129513952
CUS000813,Fruits,Association Rules,0.5180207407407407,Promising,Mid-Tier Customers,147829.68403630212,0.9994683129513952
CUS000813,Fertilizer,Association Rules,0.49025475805136304,Promising,Mid-Tier Customers,147829.68403630212,0.9994683129513952
CUS000813,Feed,Association Rules,0.3175660749506903,Promising,Mid-Tier Customers,147829.68403630212,0.9994683129513952
CUS000814,Equipment,Association Rules,0.4832405348939241,Lost,Lost Low-Value,127385.69116569193,0.9995365568145432
CUS000814,Feed,Association Rules,0.448302807430727,Lost,Lost Low-Value,127385.69116569193,0.9995365568145432
CUS000814,Fertilizer,Association Rules,0.3774573400147679,Lost,Lost Low-Value,127385.69116569193,0.9995365568145432
CUS000815,Equipment,Association Rules,0.7983701295567728,Loyal Customers,Lost Low-Value,381155.646360003,0.999368238556938
CUS000815,Feed,Association Rules,0.7384323654077065,Loyal Customers,Lost Low-Value,381155.646360003,0.999368238556938
CUS000815,Fertilizer,Association Rules,0.574510929542594,Loyal Customers,Lost Low-Value,381155.646360003,0.999368238556938
CUS000816,Fruits,Association Rules,0.5180207407407407,Need Attention,Mid-Tier Customers,34640.83373951835,0.9996253457127178
CUS000816,Fertilizer,Association Rules,0.49025475805136304,Need Attention,Mid-Tier Customers,34640.83373951835,0.9996253457127178
CUS000816,Feed,Association Rules,0.3175660749506903,Need Attention,Mid-Tier Customers,34640.83373951835,0.9996253457127178
CUS000817,Other,Association Rules,0.6393202405698131,Champions,Dormant Veterans,880957.7406898227,0.9992390198065232
CUS000817,Equipment,Association Rules,0.5319004113054807,Champions,Dormant Veterans,880957.7406898227,0.9992390198065232
CUS000817,Unknown,Association Rules,0.4920552070488354,Champions,Dormant Veterans,880957.7406898227,0.9992390198065232
CUS000818,Other,Hybrid (Collaborative + Association),1.0,About to Sleep,Mid-Tier Customers,122561.4446659126,0.999584904103443
CUS000818,Unknown,Hybrid (Collaborative + Association),1.0,About to Sleep,Mid-Tier Customers,122561.4446659126,0.999584904103443
CUS000818,Seeds,Hybrid (Collaborative + Association),0.9524077358659321,About to Sleep,Mid-Tier Customers,122561.4446659126,0.999584904103443
CUS000819,Fruits,Association Rules,0.5180207407407407,Big Spenders,Mid-Tier Customers,415246.0697800728,0.9994836895273856
CUS000819,Fertilizer,Association Rules,0.49025475805136304,Big Spenders,Mid-Tier Customers,415246.0697800728,0.9994836895273856
CUS000819,Feed,Association Rules,0.3175660749506903,Big Spenders,Mid-Tier Customers,415246.0697800728,0.9994836895273856
CUS000820,Fertilizer,Association Rules,0.6290883878477112,At Risk,Lost Low-Value,151192.97783321078,0.999323078712422
CUS000820,Other,Association Rules,0.5586796965908969,At Risk,Lost Low-Value,151192.97783321078,0.999323078712422
CUS000820,Fruits,Association Rules,0.5214417357001973,At Risk,Lost Low-Value,151192.97783321078,0.999323078712422
CUS000821,Fruits,Association Rules,0.701729436554542,Loyal Customers,Dormant Veterans,1431839.0398062642,0.9994398977585536
CUS000821,Equipment,Association Rules,0.671219835254151,Loyal Customers,Dormant Veterans,1431839.0398062642,0.9994398977585536
CUS000821,Feed,Association Rules,0.6386166672251756,Loyal Customers,Dormant Veterans,1431839.0398062642,0.9994398977585536
CUS000822,Equipment,Association Rules,0.31512959466284873,About to Sleep,Lost Low-Value,21944.737598355965,0.9996253440568956
CUS000822,Feed,Association Rules,0.29012955797697954,About to Sleep,Lost Low-Value,21944.737598355965,0.9996253440568956
CUS000822,Fruits,Association Rules,0.2690364625410675,About to Sleep,Lost Low-Value,21944.737598355965,0.9996253440568956
CUS000823,Equipment,Association Rules,0.31512959466284873,About to Sleep,Mid-Tier Customers,15747.35357340972,0.9996253457127178
CUS000823,Feed,Association Rules,0.29012955797697954,About to Sleep,Mid-Tier Customers,15747.35357340972,0.9996253457127178
CUS000823,Fruits,Association Rules,0.2690364625410675,About to Sleep,Mid-Tier Customers,15747.35357340972,0.9996253457127178
CUS000824,Seeds,Association Rules,0.49025475805136304,Promising,Mid-Tier Customers,74603.9814329391,0.9994683129513952
CUS000824,Other,Association Rules,0.3774573400147679,Promising,Mid-Tier Customers,74603.9814329391,0.9994683129513952
CUS000824,Unknown,Association Rules,0.275227191871268,Promising,Mid-Tier Customers,74603.9814329391,0.9994683129513952
