Customer_ID,Category,Customer_CLV,Category_Popularity
CUS001408,Vegetables,602540.863520206,28
CUS001408,Fruits,602540.863520206,15
CUS001418,Unknown,663624.3791878278,2339
CUS001418,Seeds,663624.3791878278,880
CUS001418,Fertilizer,663624.3791878278,218
CUS001418,Feed,663624.3791878278,217
CUS001418,Agrochemicals,663624.3791878278,161
CUS001418,Equipment,663624.3791878278,86
CUS001418,Vegetables,663624.3791878278,28
CUS001418,Fruits,663624.3791878278,15
CUS001422,Agrochemicals,1967294.818852714,161
CUS001422,Equipment,1967294.818852714,86
CUS001422,Vegetables,1967294.818852714,28
CUS001422,Fruits,1967294.818852714,15
CUS001425,Unknown,8012134.840127438,2339
CUS001425,Seeds,8012134.840127438,880
CUS001425,Fertilizer,8012134.840127438,218
CUS001425,Agrochemicals,8012134.840127438,161
CUS001425,Equipment,8012134.840127438,86
CUS001425,Vegetables,8012134.840127438,28
CUS001425,Fruits,8012134.840127438,15
CUS001432,Unknown,951123.4608594726,2339
CUS001432,Other,951123.4608594726,2175
CUS001432,Seeds,951123.4608594726,880
CUS001432,Fertilizer,951123.4608594726,218
CUS001432,Feed,951123.4608594726,217
CUS001432,Agrochemicals,951123.4608594726,161
CUS001432,Equipment,951123.4608594726,86
CUS001432,Vegetables,951123.4608594726,28
CUS001432,Fruits,951123.4608594726,15
CUS001434,Unknown,553584.3359024016,2339
CUS001434,Other,553584.3359024016,2175
CUS001434,Seeds,553584.3359024016,880
CUS001434,Fertilizer,553584.3359024016,218
CUS001434,Feed,553584.3359024016,217
CUS001434,Agrochemicals,553584.3359024016,161
CUS001434,Equipment,553584.3359024016,86
CUS001434,Vegetables,553584.3359024016,28
CUS001434,Fruits,553584.3359024016,15
CUS001442,Unknown,4657433.949807406,2339
CUS001442,Other,4657433.949807406,2175
CUS001442,Seeds,4657433.949807406,880
CUS001442,Fertilizer,4657433.949807406,218
CUS001442,Feed,4657433.949807406,217
CUS001442,Agrochemicals,4657433.949807406,161
CUS001442,Equipment,4657433.949807406,86
CUS001442,Vegetables,4657433.949807406,28
CUS001442,Fruits,4657433.949807406,15
CUS001456,Other,1631292.650557115,2175
CUS001456,Seeds,1631292.650557115,880
CUS001456,Fertilizer,1631292.650557115,218
CUS001456,Feed,1631292.650557115,217
CUS001456,Agrochemicals,1631292.650557115,161
CUS001456,Equipment,1631292.650557115,86
CUS001456,Vegetables,1631292.650557115,28
CUS001456,Fruits,1631292.650557115,15
CUS001462,Fertilizer,1753022.2271747156,218
CUS001462,Feed,1753022.2271747156,217
CUS001462,Agrochemicals,1753022.2271747156,161
CUS001462,Equipment,1753022.2271747156,86
CUS001462,Vegetables,1753022.2271747156,28
CUS001462,Fruits,1753022.2271747156,15
CUS001465,Unknown,549347.5604658972,2339
CUS001465,Other,549347.5604658972,2175
CUS001465,Seeds,549347.5604658972,880
CUS001465,Fertilizer,549347.5604658972,218
CUS001465,Feed,549347.5604658972,217
CUS001465,Agrochemicals,549347.5604658972,161
CUS001465,Equipment,549347.5604658972,86
CUS001465,Vegetables,549347.5604658972,28
CUS001465,Fruits,549347.5604658972,15
CUS001467,Fertilizer,1407471.770429534,218
CUS001467,Feed,1407471.770429534,217
CUS001467,Agrochemicals,1407471.770429534,161
CUS001467,Equipment,1407471.770429534,86
CUS001467,Vegetables,1407471.770429534,28
CUS001467,Fruits,1407471.770429534,15
CUS001470,Seeds,3973235.185577158,880
CUS001470,Fertilizer,3973235.185577158,218
CUS001470,Feed,3973235.185577158,217
CUS001470,Agrochemicals,3973235.185577158,161
CUS001470,Equipment,3973235.185577158,86
CUS001470,Vegetables,3973235.185577158,28
CUS001470,Fruits,3973235.185577158,15
CUS001471,Unknown,1704366.7200065963,2339
CUS001471,Other,1704366.7200065963,2175
CUS001471,Seeds,1704366.7200065963,880
CUS001471,Fertilizer,1704366.7200065963,218
CUS001471,Feed,1704366.7200065963,217
CUS001471,Agrochemicals,1704366.7200065963,161
