Customer_ID,RFM_Segment,Action,Monetary,Predicted_CLV,Churn_Probability,Purchase_Timing_Status,Recency
CUS000744,Big Spenders,URGENT: Win-back VIP,925200.0,915334.3818056857,0.9989941343642856,New/One-time,1929
CUS000854,Big Spenders,URGENT: Win-back VIP,900000.0,919304.6989169957,0.9991141663665486,New/One-time,2037
CUS001027,Big Spenders,URGENT: Win-back VIP,750000.0,760184.3995435345,0.9993055097814347,New/One-time,1594
CUS001182,Big Spenders,URGENT: Win-back VIP,700000.0,682210.5665552184,0.9993055097814347,New/One-time,1456
CUS002725,Big Spenders,URGENT: Win-back VIP,618000.0,604496.2843058811,0.999398650521898,New/One-time,1649
CUS001868,Big Spenders,URGENT: Win-back VIP,555000.0,533615.320932711,0.999398650521898,New/One-time,1552
CUS002524,Big Spenders,URGENT: Win-back VIP,516000.0,487319.9550205657,0.999398650521898,New/One-time,1790
CUS000281,Big Spenders,URGENT: Win-back VIP,708000.0,683793.4672731117,0.9992029047818396,New/One-time,1891
CUS001148,Big Spenders,URGENT: Win-back VIP,579000.0,581369.1562703205,0.999398650521898,New/One-time,1691
CUS000951,Big Spenders,URGENT: Win-back VIP,535000.0,528300.4342696193,0.999398650521898,New/One-time,1628
